feature,stream,mean_violent,mean_nonviolent,cohens_d,abs_d,univ_auc,mwu_p
motion_mean,Motion,0.4638,0.1703,0.811,0.811,0.7894,0.0
motion_peak,Motion,2.3929,1.0789,0.5854,0.5854,0.7548,0.0
light_blur_score,Lighting,0.6652,1.5753,-0.5409,0.5409,0.7112,0.0
crowd_density_area,Crowd,0.1455,0.0986,0.3551,0.3551,0.6432,2.104194759596817e-24
light_low_light_ratio,Lighting,0.2431,0.2982,-0.3408,0.3408,0.6009,6.964880603678447e-13
light_mean_brightness,Lighting,0.3959,0.3709,0.259,0.259,0.5819,5.593793428460003e-09
crowd_count_var,Crowd,1.4075,0.9769,0.2339,0.2339,0.6788,4.066480254030937e-37
crowd_max_count,Crowd,5.0774,4.2612,0.2302,0.2302,0.5996,9.61605578150837e-13
light_contrast_std,Lighting,0.4601,0.4816,-0.2089,0.2089,0.5642,4.890483069175389e-06
motion_synchrony,Motion,0.1335,0.1099,0.203,0.203,0.5429,0.0022687918972223997
motion_dir_entropy,Motion,2.0081,2.0169,-0.0787,0.0787,0.533,0.0188822653144598
crowd_mean_count,Crowd,2.5854,2.5529,0.0127,0.0127,0.5355,0.011476769112050533
