filename,class_name,fps,n_frames,duration_s,width,height,resolution
V_1.mp4,Violent,15.42,103,6.681,1920,1080,1920x1080
V_10.mp4,Violent,18.22,96,5.268,1920,1080,1920x1080
V_100.mp4,Violent,29.97,153,5.105,640,360,640x360
V_1000.mp4,Violent,30.0,150,5.0,260,360,260x360
V_101.mp4,Violent,29.97,108,3.604,640,360,640x360
V_102.mp4,Violent,29.97,153,5.105,640,360,640x360
V_103.mp4,Violent,29.97,150,5.005,640,360,640x360
V_104.mp4,Violent,29.97,150,5.005,640,360,640x360
V_105.mp4,Violent,29.97,153,5.105,640,360,640x360
V_106.mp4,Violent,29.97,150,5.005,640,360,640x360
V_107.mp4,Violent,29.97,150,5.005,640,360,640x360
V_108.mp4,Violent,29.97,120,4.004,640,360,640x360
V_109.mp4,Violent,29.97,108,3.604,640,360,640x360
V_11.mp4,Violent,29.97,222,7.407,1280,720,1280x720
V_110.mp4,Violent,29.97,150,5.005,204,360,204x360
V_111.mp4,Violent,29.97,141,4.705,204,360,204x360
V_112.mp4,Violent,29.97,132,4.404,204,360,204x360
V_113.mp4,Violent,29.97,162,5.405,204,360,204x360
V_114.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_115.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_116.mp4,Violent,29.97,153,5.105,1280,720,1280x720
V_117.mp4,Violent,29.97,147,4.905,1280,720,1280x720
V_118.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_119.mp4,Violent,29.97,153,5.105,1280,720,1280x720
V_12.mp4,Violent,29.97,138,4.605,410,652,410x652
V_120.mp4,Violent,29.97,147,4.905,1280,720,1280x720
V_121.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_122.mp4,Violent,29.97,150,5.005,210,358,210x358
V_123.mp4,Violent,30.0,177,5.9,640,360,640x360
V_124.mp4,Violent,30.0,177,5.9,640,360,640x360
V_125.mp4,Violent,30.0,177,5.9,640,360,640x360
V_126.mp4,Violent,30.0,177,5.9,640,360,640x360
V_127.mp4,Violent,30.0,177,5.9,640,360,640x360
V_128.mp4,Violent,30.0,177,5.9,640,360,640x360
V_129.mp4,Violent,30.0,177,5.9,640,360,640x360
V_13.mp4,Violent,29.97,159,5.305,410,652,410x652
V_130.mp4,Violent,30.0,177,5.9,640,360,640x360
V_131.mp4,Violent,30.0,177,5.9,640,360,640x360
V_132.mp4,Violent,30.0,177,5.9,640,360,640x360
V_133.mp4,Violent,30.0,177,5.9,640,360,640x360
V_134.mp4,Violent,30.0,177,5.9,640,360,640x360
V_135.mp4,Violent,30.0,177,5.9,640,360,640x360
V_136.mp4,Violent,30.0,177,5.9,640,360,640x360
V_137.mp4,Violent,30.0,177,5.9,640,360,640x360
V_138.mp4,Violent,30.0,177,5.9,640,360,640x360
V_139.mp4,Violent,30.0,177,5.9,640,360,640x360
V_14.mp4,Violent,29.97,180,6.006,854,540,854x540
V_140.mp4,Violent,30.0,180,6.0,640,360,640x360
V_141.mp4,Violent,30.0,177,5.9,640,360,640x360
V_142.mp4,Violent,30.0,177,5.9,640,360,640x360
V_143.mp4,Violent,30.0,177,5.9,640,360,640x360
V_144.mp4,Violent,30.0,213,7.1,640,360,640x360
V_145.mp4,Violent,30.0,177,5.9,640,360,640x360
V_146.mp4,Violent,30.0,177,5.9,640,360,640x360
V_147.mp4,Violent,30.0,180,6.0,640,360,640x360
V_148.mp4,Violent,30.0,177,5.9,640,360,640x360
V_149.mp4,Violent,30.0,177,5.9,640,360,640x360
V_15.mp4,Violent,29.97,108,3.604,576,720,576x720
V_150.mp4,Violent,30.0,177,5.9,640,360,640x360
V_151.mp4,Violent,30.0,177,5.9,640,360,640x360
V_152.mp4,Violent,30.0,177,5.9,640,360,640x360
V_153.mp4,Violent,30.0,177,5.9,640,360,640x360
V_154.mp4,Violent,30.0,177,5.9,640,360,640x360
V_155.mp4,Violent,30.0,177,5.9,640,360,640x360
V_156.mp4,Violent,20.0,98,4.9,320,240,320x240
V_157.mp4,Violent,20.0,90,4.5,320,240,320x240
V_158.mp4,Violent,20.0,94,4.7,320,240,320x240
V_159.mp4,Violent,20.0,76,3.8,320,240,320x240
V_16.mp4,Violent,29.97,105,3.504,576,720,576x720
V_160.mp4,Violent,20.0,106,5.3,320,240,320x240
V_161.mp4,Violent,20.0,102,5.1,320,240,320x240
V_162.mp4,Violent,20.0,108,5.4,320,240,320x240
V_163.mp4,Violent,20.0,98,4.9,320,240,320x240
V_164.mp4,Violent,20.0,106,5.3,320,240,320x240
V_165.mp4,Violent,20.0,100,5.0,320,240,320x240
V_166.mp4,Violent,20.0,124,6.2,320,240,320x240
V_167.mp4,Violent,20.0,84,4.2,320,240,320x240
V_168.mp4,Violent,20.0,88,4.4,320,240,320x240
V_169.mp4,Violent,20.0,98,4.9,320,240,320x240
V_17.mp4,Violent,29.97,192,6.406,1070,720,1070x720
V_170.mp4,Violent,20.0,110,5.5,320,240,320x240
V_171.mp4,Violent,20.0,62,3.1,320,240,320x240
V_172.mp4,Violent,20.0,74,3.7,320,240,320x240
V_173.mp4,Violent,20.0,108,5.4,320,240,320x240
V_174.mp4,Violent,30.0,126,4.2,204,360,204x360
V_175.mp4,Violent,30.0,123,4.1,204,360,204x360
V_176.mp4,Violent,30.0,129,4.3,204,360,204x360
V_177.mp4,Violent,30.0,120,4.0,204,360,204x360
V_178.mp4,Violent,30.0,144,4.8,204,360,204x360
V_179.mp4,Violent,30.0,141,4.7,204,360,204x360
V_18.mp4,Violent,29.97,129,4.304,1280,720,1280x720
V_180.mp4,Violent,30.0,132,4.4,204,360,204x360
V_181.mp4,Violent,30.0,111,3.7,204,360,204x360
V_182.mp4,Violent,30.0,111,3.7,204,360,204x360
V_183.mp4,Violent,29.97,168,5.606,640,360,640x360
V_184.mp4,Violent,29.97,168,5.606,640,360,640x360
V_185.mp4,Violent,29.97,168,5.606,640,360,640x360
V_186.mp4,Violent,29.97,150,5.005,640,360,640x360
V_187.mp4,Violent,29.97,168,5.606,640,360,640x360
V_188.mp4,Violent,29.97,168,5.606,640,360,640x360
V_189.mp4,Violent,29.97,168,5.606,640,360,640x360
V_19.mp4,Violent,29.97,108,3.604,718,720,718x720
V_190.mp4,Violent,29.97,186,6.206,404,360,404x360
V_191.mp4,Violent,29.97,165,5.506,286,360,286x360
V_192.mp4,Violent,29.97,117,3.904,640,360,640x360
V_193.mp4,Violent,29.97,168,5.606,640,360,640x360
V_194.mp4,Violent,29.97,138,4.605,640,360,640x360
V_195.mp4,Violent,29.97,144,4.805,640,360,640x360
V_196.mp4,Violent,29.97,138,4.605,640,360,640x360
V_197.mp4,Violent,29.97,168,5.606,640,360,640x360
V_198.mp4,Violent,29.97,168,5.606,640,360,640x360
V_199.mp4,Violent,29.97,141,4.705,640,360,640x360
V_2.mp4,Violent,16.67,115,6.9,1920,1080,1920x1080
V_20.mp4,Violent,29.97,147,4.905,1038,720,1038x720
V_200.mp4,Violent,29.97,168,5.606,640,360,640x360
V_201.mp4,Violent,29.97,168,5.606,230,360,230x360
V_202.mp4,Violent,29.97,168,5.606,640,360,640x360
V_203.mp4,Violent,30.0,153,5.1,402,720,402x720
V_204.mp4,Violent,30.0,156,5.2,402,720,402x720
V_205.mp4,Violent,30.0,156,5.2,402,720,402x720
V_206.mp4,Violent,30.0,168,5.6,402,720,402x720
V_207.mp4,Violent,30.0,156,5.2,438,452,438x452
V_208.mp4,Violent,30.0,156,5.2,408,534,408x534
V_209.mp4,Violent,30.0,171,5.7,402,720,402x720
V_21.mp4,Violent,29.97,180,6.006,718,720,718x720
V_210.mp4,Violent,30.0,165,5.5,414,720,414x720
V_211.mp4,Violent,30.0,156,5.2,408,720,408x720
V_212.mp4,Violent,30.0,156,5.2,438,452,438x452
V_213.mp4,Violent,30.0,120,4.0,1280,720,1280x720
V_214.mp4,Violent,30.0,156,5.2,438,452,438x452
V_215.mp4,Violent,30.0,156,5.2,438,452,438x452
V_216.mp4,Violent,30.0,156,5.2,438,452,438x452
V_217.mp4,Violent,30.0,156,5.2,408,534,408x534
V_218.mp4,Violent,30.0,156,5.2,438,720,438x720
V_219.mp4,Violent,30.0,156,5.2,438,720,438x720
V_22.mp4,Violent,29.97,159,5.305,410,498,410x498
V_220.mp4,Violent,30.0,162,5.4,438,720,438x720
V_221.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_222.mp4,Violent,30.0,153,5.1,1280,720,1280x720
V_223.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_224.mp4,Violent,30.0,171,5.7,408,720,408x720
V_225.mp4,Violent,30.0,165,5.5,408,720,408x720
V_226.mp4,Violent,30.0,153,5.1,408,534,408x534
V_227.mp4,Violent,30.0,156,5.2,408,534,408x534
V_228.mp4,Violent,30.0,153,5.1,408,534,408x534
V_229.mp4,Violent,30.0,153,5.1,402,720,402x720
V_23.mp4,Violent,29.97,126,4.204,410,720,410x720
V_230.mp4,Violent,30.0,153,5.1,402,720,402x720
V_231.mp4,Violent,30.0,153,5.1,402,720,402x720
V_232.mp4,Violent,30.0,138,4.6,1280,720,1280x720
V_233.mp4,Violent,30.0,153,5.1,1280,720,1280x720
V_234.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_235.mp4,Violent,30.0,153,5.1,402,720,402x720
V_236.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_237.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_238.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_239.mp4,Violent,30.0,156,5.2,1280,720,1280x720
V_24.mp4,Violent,29.97,210,7.007,410,720,410x720
V_240.mp4,Violent,30.0,156,5.2,402,720,402x720
V_241.mp4,Violent,30.0,144,4.8,1280,720,1280x720
V_242.mp4,Violent,30.0,108,3.6,1280,720,1280x720
V_243.mp4,Violent,30.0,105,3.5,1280,720,1280x720
V_244.mp4,Violent,30.0,108,3.6,442,720,442x720
V_245.mp4,Violent,30.0,105,3.5,442,720,442x720
V_246.mp4,Violent,30.0,105,3.5,442,720,442x720
V_247.mp4,Violent,30.0,129,4.3,442,720,442x720
V_248.mp4,Violent,30.0,114,3.8,442,720,442x720
V_249.mp4,Violent,30.0,108,3.6,442,720,442x720
V_25.mp4,Violent,29.97,129,4.304,584,650,584x650
V_250.mp4,Violent,30.0,108,3.6,442,720,442x720
V_251.mp4,Violent,30.0,141,4.7,442,720,442x720
V_252.mp4,Violent,30.0,138,4.6,442,720,442x720
V_253.mp4,Violent,30.0,162,5.4,442,720,442x720
V_254.mp4,Violent,30.0,162,5.4,442,720,442x720
V_255.mp4,Violent,30.0,156,5.2,314,720,314x720
V_256.mp4,Violent,30.0,150,5.0,410,720,410x720
V_257.mp4,Violent,30.0,150,5.0,410,720,410x720
V_258.mp4,Violent,30.0,159,5.3,282,260,282x260
V_259.mp4,Violent,30.0,138,4.6,338,720,338x720
V_26.mp4,Violent,29.97,126,4.204,584,650,584x650
V_260.mp4,Violent,30.0,129,4.3,398,336,398x336
V_261.mp4,Violent,30.0,147,4.9,262,484,262x484
V_262.mp4,Violent,30.0,117,3.9,262,484,262x484
V_263.mp4,Violent,30.0,147,4.9,398,720,398x720
V_264.mp4,Violent,30.0,159,5.3,398,720,398x720
V_265.mp4,Violent,30.0,129,4.3,428,720,428x720
V_266.mp4,Violent,30.0,156,5.2,428,720,428x720
V_267.mp4,Violent,30.0,171,5.7,428,362,428x362
V_268.mp4,Violent,30.0,147,4.9,202,360,202x360
V_269.mp4,Violent,30.0,147,4.9,202,360,202x360
V_27.mp4,Violent,29.97,168,5.606,654,650,654x650
V_270.mp4,Violent,30.0,168,5.6,202,360,202x360
V_271.mp4,Violent,30.0,162,5.4,202,360,202x360
V_272.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_273.mp4,Violent,18.0,92,5.111,440,360,440x360
V_274.mp4,Violent,18.0,92,5.111,440,360,440x360
V_275.mp4,Violent,18.0,92,5.111,440,360,440x360
V_276.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_277.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_278.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_279.mp4,Violent,30.0,177,5.9,1280,720,1280x720
V_28.mp4,Violent,29.97,129,4.304,654,650,654x650
V_280.mp4,Violent,30.0,177,5.9,728,720,728x720
V_281.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_282.mp4,Violent,30.0,162,5.4,1280,720,1280x720
V_283.mp4,Violent,29.97,159,5.305,1280,574,1280x574
V_284.mp4,Violent,29.97,168,5.606,1280,574,1280x574
V_285.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_286.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_287.mp4,Violent,29.97,144,4.805,1280,570,1280x570
V_288.mp4,Violent,29.97,129,4.304,1280,720,1280x720
V_289.mp4,Violent,29.97,141,4.705,1280,574,1280x574
V_29.mp4,Violent,29.97,108,3.604,654,650,654x650
V_290.mp4,Violent,29.97,141,4.705,1280,626,1280x626
V_291.mp4,Violent,29.97,144,4.805,1280,720,1280x720
V_292.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_293.mp4,Violent,29.97,141,4.705,1280,720,1280x720
V_294.mp4,Violent,29.97,144,4.805,1280,720,1280x720
V_295.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_296.mp4,Violent,29.97,129,4.304,1280,628,1280x628
V_297.mp4,Violent,29.97,141,4.705,1280,574,1280x574
V_298.mp4,Violent,29.97,171,5.706,1280,720,1280x720
V_299.mp4,Violent,29.97,171,5.706,1280,720,1280x720
V_3.mp4,Violent,25.0,174,6.96,1080,1920,1080x1920
V_30.mp4,Violent,29.97,105,3.504,654,650,654x650
V_300.mp4,Violent,29.97,195,6.506,1280,548,1280x548
V_301.mp4,Violent,29.97,132,4.404,1280,720,1280x720
V_302.mp4,Violent,29.97,129,4.304,1280,628,1280x628
V_303.mp4,Violent,29.97,183,6.106,1280,574,1280x574
V_304.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_305.mp4,Violent,29.97,129,4.304,1280,720,1280x720
V_306.mp4,Violent,29.97,162,5.405,1280,570,1280x570
V_307.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_308.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_309.mp4,Violent,29.97,138,4.605,1280,602,1280x602
V_31.mp4,Violent,10.5,62,5.905,180,240,180x240
V_310.mp4,Violent,29.97,156,5.205,1280,574,1280x574
V_311.mp4,Violent,29.97,144,4.805,1280,628,1280x628
V_312.mp4,Violent,29.97,129,4.304,1280,720,1280x720
V_313.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_314.mp4,Violent,29.97,156,5.205,1280,530,1280x530
V_315.mp4,Violent,29.97,168,5.606,1280,720,1280x720
V_316.mp4,Violent,29.97,156,5.205,1280,628,1280x628
V_317.mp4,Violent,29.97,135,4.505,1280,720,1280x720
V_318.mp4,Violent,29.97,141,4.705,1280,530,1280x530
V_319.mp4,Violent,29.97,144,4.805,1280,720,1280x720
V_32.mp4,Violent,25.0,140,5.6,1280,542,1280x542
V_320.mp4,Violent,29.97,162,5.405,1280,720,1280x720
V_321.mp4,Violent,29.97,132,4.404,1280,574,1280x574
V_322.mp4,Violent,29.97,138,4.605,1280,628,1280x628
V_323.mp4,Violent,29.97,153,5.105,1280,720,1280x720
V_324.mp4,Violent,29.97,171,5.706,1280,720,1280x720
V_325.mp4,Violent,29.97,165,5.506,1280,720,1280x720
V_326.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_327.mp4,Violent,29.97,129,4.304,1280,574,1280x574
V_328.mp4,Violent,29.97,129,4.304,1280,574,1280x574
V_329.mp4,Violent,29.97,156,5.205,1280,720,1280x720
V_33.mp4,Violent,25.0,143,5.72,1280,542,1280x542
V_330.mp4,Violent,29.97,129,4.304,1280,628,1280x628
V_331.mp4,Violent,30.0,176,5.867,368,656,368x656
V_332.mp4,Violent,29.97,171,5.706,1280,570,1280x570
V_333.mp4,Violent,29.97,132,4.404,1280,672,1280x672
V_334.mp4,Violent,29.97,114,3.804,360,360,360x360
V_335.mp4,Violent,29.97,141,4.705,360,360,360x360
V_336.mp4,Violent,29.97,165,5.506,640,360,640x360
V_337.mp4,Violent,29.97,141,4.705,640,360,640x360
V_338.mp4,Violent,29.97,123,4.104,640,360,640x360
V_339.mp4,Violent,29.97,129,4.304,640,360,640x360
V_34.mp4,Violent,25.0,143,5.72,1280,720,1280x720
V_340.mp4,Violent,29.97,117,3.904,640,360,640x360
V_341.mp4,Violent,29.97,159,5.305,202,360,202x360
V_342.mp4,Violent,29.97,153,5.105,202,360,202x360
V_343.mp4,Violent,29.97,141,4.705,202,360,202x360
V_344.mp4,Violent,29.97,117,3.904,484,360,484x360
V_345.mp4,Violent,29.97,117,3.904,484,360,484x360
V_346.mp4,Violent,29.97,144,4.805,204,360,204x360
V_347.mp4,Violent,29.97,189,6.306,202,360,202x360
V_348.mp4,Violent,29.97,153,5.105,640,360,640x360
V_349.mp4,Violent,29.97,153,5.105,484,360,484x360
V_35.mp4,Violent,25.0,140,5.6,1280,720,1280x720
V_350.mp4,Violent,29.97,121,4.037,360,360,360x360
V_351.mp4,Violent,29.97,138,4.605,360,360,360x360
V_352.mp4,Violent,29.97,147,4.905,360,360,360x360
V_353.mp4,Violent,29.97,150,5.005,640,360,640x360
V_354.mp4,Violent,29.97,141,4.705,1280,720,1280x720
V_355.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_356.mp4,Violent,29.97,180,6.006,1280,720,1280x720
V_357.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_358.mp4,Violent,29.97,180,6.006,1280,720,1280x720
V_359.mp4,Violent,29.97,228,7.608,1280,720,1280x720
V_36.mp4,Violent,25.0,140,5.6,1280,720,1280x720
V_360.mp4,Violent,29.97,201,6.707,1280,720,1280x720
V_361.mp4,Violent,29.97,222,7.407,1280,720,1280x720
V_362.mp4,Violent,29.97,150,5.005,1280,720,1280x720
V_363.mp4,Violent,29.97,165,5.506,1280,720,1280x720
V_364.mp4,Violent,29.97,153,5.105,1280,720,1280x720
V_365.mp4,Violent,29.97,150,5.005,1280,720,1280x720
